"GEONAMEID","Название на латиннице","Название на кириллице","Почтовый индекс","Широта","Долгота","Население"
625144,"Minsk","Минск","220000",53.9,27.567,1742124
627907,"Homyel'","Гомель","246000",52.435,30.975,480951
625665,"Mahilyow","Могилев","212000",53.917,30.345,369200
620127,"Vitebsk","Витебск","210000",55.19,30.205,342700
627904,"Hrodna","Гродно","230000",53.688,23.826,317365
629634,"Brest","Брест","224000",52.098,23.688,300715
630468,"Babruysk","Бобруйск","213800",53.138,29.221,220517
630429,"Baranovichi","Барановичи","225320",53.133,26.014,168772
630376,"Barysaw","Борисов","222120",54.228,28.505,143919
623549,"Pinsk","Пинск","225710",52.123,26.095,130777
624079,"Orsha","Орша","211030",54.508,30.417,125347
625324,"Mazyr","Мозырь","247760",52.05,29.246,112137
622428,"Salihorsk","Солигорск","223710",52.788,27.542,101614
625625,"Maladzyechna","Молодечно","222310",54.317,26.854,101300
624784,"Navapolatsk","Новополоцк","211440",55.532,28.599,100885
626081,"Lida","Лида","231300",53.883,25.3,98036
623317,"Polatsk","Полоцк","211400",55.488,28.786,82258
618806,"Zhlobin","Жлобин","247210",52.893,30.024,73089
621074,"Svyetlahorsk","Светлогорск","247400",52.633,29.739,71250
622794,"Rechytsa","Речица","247500",52.362,30.392,65400
621741,"Slutsk","Слуцк","223610",53.027,27.56,62228
618800,"Horad Zhodzina","Жодино","222160",54.099,28.333,61007
621754,"Slonim","Слоним","231800",53.087,25.316,51434
627145,"Kobryn","Кобрин","225860",52.214,24.356,50691
620391,"Volkovysk","Волковысск","231900",53.156,24.451,47300
627751,"Kalinkavichy","Калинковичи","247710",52.132,29.326,37190
621713,"Smarhon'","Сморгонь","231000",54.48,26.396,36900
622739,"Rahachow","Рогачев","247250",53.093,30.05,34700
624034,"Asipovichy","Осиповичи","213760",53.301,28.639,34591
627905,"Horki","Горки","213410",54.286,30.986,33897
624785,"Novogrudok","Новогрудок","231400",53.594,25.819,30748
620181,"Vilyeyka","Вилейка","222410",54.491,26.911,30000
629454,"Byaroza","Береза","225210",52.531,24.979,29645
626450,"Krychaw","Кричев","213500",53.713,31.717,27681
625818,"Luninyets","Лунинец","225650",52.247,26.805,25000
628634,"Dzyarzhynsk","Дзержинск","222720",53.683,27.138,24609
627800,"Ivatsevichy","Ивацевичи","225250",52.709,25.34,24200
627908,"Hlybokaye","Глубокое","211800",55.138,27.691,22000
623760,"Pastavy","Поставы","211840",55.117,26.833,20218
625409,"Mar''ina Horka","Марьина Горка","222810",53.509,28.147,20100
622997,"Pruzhany","Пружаны","225140",52.556,24.457,19135
629018,"Dobrush","Добруш","247050",52.409,31.324,19083
629447,"Bykhaw","Быхов","213320",53.521,30.245,17500
625743,"Lyepyel'","Лепель","211180",54.881,28.699,17400
627083,"Kalodzishchy","Колодищи","223050",53.944,27.782,17000
625367,"Mosty","Мосты","231600",53.412,24.539,16102
622113,"Shchuchyn","Щучин","231510",53.601,24.747,15700
621266,"Stowbtsy","Столбцы","222660",53.479,26.743,15500
8247407,"Lyasny","Лесной","223040",54.007,27.696,15000
627202,"Klimavichy","Климовичи","213600",53.608,31.959,14951
